date,areaType,areaCode,areaName,hospitalCases
"2020-12-21",nation,S92000003,Scotland,1078
"2020-12-20",nation,S92000003,Scotland,1061
"2020-12-19",nation,S92000003,Scotland,1033
"2020-12-18",nation,S92000003,Scotland,1032
"2020-12-17",nation,S92000003,Scotland,1012
"2020-12-16",nation,S92000003,Scotland,1031
"2020-12-15",nation,S92000003,Scotland,996
"2020-12-14",nation,S92000003,Scotland,1012
"2020-12-13",nation,S92000003,Scotland,1015
"2020-12-12",nation,S92000003,Scotland,994
"2020-12-11",nation,S92000003,Scotland,999
"2020-12-10",nation,S92000003,Scotland,984
"2020-12-09",nation,S92000003,Scotland,972
"2020-12-08",nation,S92000003,Scotland,983
"2020-12-07",nation,S92000003,Scotland,974
"2020-12-06",nation,S92000003,Scotland,951
"2020-12-05",nation,S92000003,Scotland,945
"2020-12-04",nation,S92000003,Scotland,965
"2020-12-03",nation,S92000003,Scotland,982
"2020-12-02",nation,S92000003,Scotland,991
"2020-12-01",nation,S92000003,Scotland,1021
"2020-11-30",nation,S92000003,Scotland,1041
"2020-11-29",nation,S92000003,Scotland,1049
"2020-11-28",nation,S92000003,Scotland,1074
"2020-11-27",nation,S92000003,Scotland,1099
"2020-11-26",nation,S92000003,Scotland,1125
"2020-11-25",nation,S92000003,Scotland,1156
"2020-11-24",nation,S92000003,Scotland,1197
"2020-11-23",nation,S92000003,Scotland,1208
"2020-11-22",nation,S92000003,Scotland,1170
"2020-11-21",nation,S92000003,Scotland,1194
"2020-11-20",nation,S92000003,Scotland,1234
"2020-11-19",nation,S92000003,Scotland,1212
"2020-11-18",nation,S92000003,Scotland,1241
"2020-11-17",nation,S92000003,Scotland,1249
"2020-11-16",nation,S92000003,Scotland,1227
"2020-11-15",nation,S92000003,Scotland,1241
"2020-11-14",nation,S92000003,Scotland,1198
"2020-11-13",nation,S92000003,Scotland,1228
"2020-11-12",nation,S92000003,Scotland,1207
"2020-11-11",nation,S92000003,Scotland,1235
"2020-11-10",nation,S92000003,Scotland,1239
"2020-11-09",nation,S92000003,Scotland,1226
"2020-11-08",nation,S92000003,Scotland,1245
"2020-11-07",nation,S92000003,Scotland,1245
